,0
0,Colorado
1,Connecticut
2,Georgia
3,Hawaii
4,Illinois
5,Indiana
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,New Jersey
17,North Dakota
18,Oklahoma
19,Oregon
20,Rhode Island
21,South Dakota
22,Tennessee
23,Vermont
24,Wisconsin
25,Wyoming
